muMax,D_bm,bmMax,initIllumBmMean,Kprod_bla,Kdif,diff,diff0x
4.80E-05,0.257,6,3,1.13E-09,2.36E-05,6.870747753,6.438166961
4.80E-05,0.347,6,3,1.13E-09,2.36E-05,12.63427478,12.4367392
4.80E-05,0.0692,6,3,1.13E-09,2.36E-05,4.121304949,4.5738612
4.80E-05,0.288,6,3,1.13E-09,2.36E-05,8.744924371,8.415382575
4.80E-05,0.166,6,3,1.13E-09,2.36E-05,3.319033208,2.787406424
4.80E-05,0.759,6,3,1.13E-09,2.36E-05,41.2885728,41.0928224
4.80E-05,0.0112,6,3,1.13E-09,2.36E-05,6.357165158,8.629559382
4.80E-05,0.741,6,3,1.13E-09,2.36E-05,40.08844019,39.91801698
4.80E-05,0.49,6,3,1.13E-09,2.36E-05,22.7370273,22.68209498
4.80E-05,0.501,6,3,1.13E-09,2.36E-05,23.51647911,23.47252193
4.80E-05,0.427,6,3,1.13E-09,2.36E-05,18.25207812,18.15136445
4.80E-05,0.631,6,3,1.13E-09,2.36E-05,32.60255406,32.54529647
4.80E-05,0.692,6,3,1.13E-09,2.36E-05,36.78436757,36.6727176
4.80E-05,0.417,6,3,1.13E-09,2.36E-05,17.54005746,17.43202786
4.80E-05,0.145,6,3,1.13E-09,2.36E-05,3.133856746,2.627136522
4.80E-05,0.141,6,3,1.13E-09,2.36E-05,3.127685381,2.647011611
4.80E-05,0.055,6,3,1.13E-09,2.36E-05,4.513860499,5.241605733
4.80E-05,0.525,6,3,1.13E-09,2.36E-05,25.21254014,25.18635152
4.80E-05,0.0389,6,3,1.13E-09,2.36E-05,5.043520086,6.203174067
4.80E-05,0.251,6,3,1.13E-09,2.36E-05,6.533627543,6.091188397
4.80E-05,0.0813,6,3,1.13E-09,2.36E-05,3.834989652,4.070604089
4.80E-05,0.135,6,3,1.13E-09,2.36E-05,3.13342959,2.69047644
4.80E-05,0.479,6,3,1.13E-09,2.36E-05,21.95667568,21.89174082
4.80E-05,0.832,6,3,1.13E-09,2.36E-05,46.05646882,45.75517127
4.80E-05,0.0832,6,3,1.13E-09,2.36E-05,3.793377761,3.994423936
4.80E-05,0.0302,6,3,1.13E-09,2.36E-05,5.388437887,6.859392634
4.80E-05,0.912,6,3,1.13E-09,2.36E-05,51.08733475,50.66434196
