expt,cond,rep,time (h),position (μm),redPixelRange,greenPixelRange,greenX0,redX0,GFP shift (μm),RFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL)
J4K5succ250_ampGrad,0x,1,0,-150,25-48,17-40,272.3999549514822,203.94248811388226,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,-100,40-63,32-55,274.8717845280523,233.28537237925127,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,-50,55-78,47-70,272.1686353724045,233.6733119073506,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,0,70-93,62-85,271.8559684939896,256.42113279496857,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,50,85-108,77-100,273.9296949371933,246.54560270415152,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,100,100-123,92-115,272.3978252628125,243.79223937768563,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,150,115-138,107-130,265.8105063270181,247.20034292335552,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,200,130-154,122-145,273.2261397782184,234.17598692527267,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,250,146-169,137-161,273.5552658910928,238.76208100744617,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,300,161-184,153-176,273.6089659953657,246.41416061645293,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,350,176-199,168-191,271.901882838592,253.10231499274371,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,400,191-214,183-206,268.9655645309043,262.4952880108327,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,0,450,206-229,198-221,268.0919778607507,260.5638131414958,0.0,0.0,0.0,
J4K5succ250_ampGrad,0x,1,2,-150,25-48,17-40,275.7780110762075,210.31253088194873,3.378056124725333,6.370042768066469,0.0,
J4K5succ250_ampGrad,0x,1,2,-100,40-63,32-55,276.878105446931,235.08861558975389,2.006320918878714,1.8032432105026146,0.0,
J4K5succ250_ampGrad,0x,1,2,-50,55-78,47-70,273.41154329980634,234.9041641645947,1.242907927401859,1.230852257244095,0.0,
J4K5succ250_ampGrad,0x,1,2,0,70-93,62-85,273.40405610733177,258.8906170697602,1.5480876133421475,2.4694842747916255,0.0,
J4K5succ250_ampGrad,0x,1,2,50,85-108,77-100,276.328040213023,248.38804936394544,2.3983452758296835,1.8424466597939215,0.0,
