expt,cond,rep,time (h),pixelRange,X0,shift (μm),redPixelRange,greenPixelRange,redX0,greenX0,RFP shift (μm),GFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL),position (μm)
250standalone_ampGrad,0x,1,0,116-140,307.32912228172825,0.0,,116-140,,307.32912228172825,,0.0,0.0,,
250standalone_ampGrad,0x,1,2,116-140,326.4481066244454,19.11898434271717,,116-140,,326.4481066244454,,19.11898434271717,0.0,,
250standalone_ampGrad,0x,1,4,116-140,379.08105021166466,71.75192792993641,,116-140,,379.08105021166466,,71.75192792993641,0.0,,
250standalone_ampGrad,0x,1,6,116-140,441.2152148332397,133.88609255151147,,116-140,,441.2152148332397,,133.88609255151147,0.0,,
250standalone_ampGrad,0x,1,8,116-140,538.6350062181007,231.30588393637242,,116-140,,538.6350062181007,,231.30588393637242,0.0,,
250standalone_ampGrad,0x,1,10,116-140,266.2569088080345,-41.07221347369375,,116-140,,266.2569088080345,,-41.07221347369375,0.0,,
250standalone_ampGrad,0x,2,0,116-140,311.8288167863423,0.0,,116-140,,311.8288167863423,,0.0,0.0,,
250standalone_ampGrad,0x,2,2,116-140,331.85148614941147,20.022669363069156,,116-140,,331.85148614941147,,20.022669363069156,0.0,,
250standalone_ampGrad,0x,2,4,116-140,383.3079592398339,71.47914245349159,,116-140,,383.3079592398339,,71.47914245349159,0.0,,
250standalone_ampGrad,0x,2,6,116-140,449.79549959172505,137.96668280538273,,116-140,,449.79549959172505,,137.96668280538273,0.0,,
250standalone_ampGrad,0x,2,8,116-140,535.8267910988214,223.99797431247913,,116-140,,535.8267910988214,,223.99797431247913,0.0,,
250standalone_ampGrad,0x,2,10,116-140,481.6940267939165,169.8652100075742,,116-140,,481.6940267939165,,169.8652100075742,0.0,,
250standalone_ampGrad,0x,3,0,116-140,326.71237278771775,0.0,,116-140,,326.71237278771775,,0.0,0.0,,
250standalone_ampGrad,0x,3,2,116-140,349.23640703516753,22.524034247449777,,116-140,,349.23640703516753,,22.524034247449777,0.0,,
250standalone_ampGrad,0x,3,4,116-140,402.6820690260474,75.96969623832962,,116-140,,402.6820690260474,,75.96969623832962,0.0,,
250standalone_ampGrad,0x,3,6,116-140,466.85842001117095,140.1460472234532,,116-140,,466.85842001117095,,140.1460472234532,0.0,,
250standalone_ampGrad,0x,3,8,116-140,530.7925043808109,204.08013159309314,,116-140,,530.7925043808109,,204.08013159309314,0.0,,
250standalone_ampGrad,0x,3,10,116-140,399.5014413402938,72.78906855257605,,116-140,,399.5014413402938,,72.78906855257605,0.0,,
250standalone_ampGrad,1x,1,0,116-140,326.1285725386912,0.0,,116-140,,326.1285725386912,,0.0,0.1,,
250standalone_ampGrad,1x,1,2,116-140,342.8816535829489,16.753081044257726,,116-140,,342.8816535829489,,16.753081044257726,0.1,,
250standalone_ampGrad,1x,1,4,116-140,395.8153106019839,69.68673806329275,,116-140,,395.8153106019839,,69.68673806329275,0.1,,
250standalone_ampGrad,1x,1,6,116-140,462.82341569148167,136.6948431527905,,116-140,,462.82341569148167,,136.6948431527905,0.1,,
250standalone_ampGrad,1x,1,8,116-140,565.2438736651998,239.1153011265086,,116-140,,565.2438736651998,,239.1153011265086,0.1,,
250standalone_ampGrad,1x,1,10,116-140,762.4316104724384,436.3030379337472,,116-140,,762.4316104724384,,436.3030379337472,0.1,,
250standalone_ampGrad,1x,2,0,116-140,323.0445078854929,0.0,,116-140,,323.0445078854929,,0.0,0.1,,
250standalone_ampGrad,1x,2,2,116-140,341.12334539306374,18.078837507570825,,116-140,,341.12334539306374,,18.078837507570825,0.1,,
250standalone_ampGrad,1x,2,4,116-140,392.13224002770795,69.08773214221503,,116-140,,392.13224002770795,,69.08773214221503,0.1,,
250standalone_ampGrad,1x,2,6,116-140,453.5215421896433,130.47703430415038,,116-140,,453.5215421896433,,130.47703430415038,0.1,,
250standalone_ampGrad,1x,2,8,116-140,529.9707893237544,206.92628143826147,,116-140,,529.9707893237544,,206.92628143826147,0.1,,
250standalone_ampGrad,1x,2,10,116-140,302.43537083606986,-20.609137049423055,,116-140,,302.43537083606986,,-20.609137049423055,0.1,,
250standalone_ampGrad,1x,3,0,116-140,317.5201807076617,0.0,,116-140,,317.5201807076617,,0.0,0.1,,
250standalone_ampGrad,1x,3,2,116-140,335.49862650224145,17.978445794579727,,116-140,,335.49862650224145,,17.978445794579727,0.1,,
250standalone_ampGrad,1x,3,4,116-140,387.1147756806132,69.59459497295148,,116-140,,387.1147756806132,,69.59459497295148,0.1,,
250standalone_ampGrad,1x,3,6,116-140,447.44944747350854,129.92926676584682,,116-140,,447.44944747350854,,129.92926676584682,0.1,,
250standalone_ampGrad,1x,3,8,116-140,525.6247244407144,208.1045437330527,,116-140,,525.6247244407144,,208.1045437330527,0.1,,
250standalone_ampGrad,1x,3,10,116-140,482.7562512333712,165.23607052570947,,116-140,,482.7562512333712,,165.23607052570947,0.1,,
250standalone_ampGrad,3x,1,0,116-140,317.44390370813505,0.0,,116-140,,317.44390370813505,,0.0,0.31622776601683794,,
250standalone_ampGrad,3x,1,2,116-140,341.4877934636121,24.04388975547704,,116-140,,341.4877934636121,,24.04388975547704,0.31622776601683794,,
250standalone_ampGrad,3x,1,4,116-140,407.78070477906675,90.3368010709317,,116-140,,407.78070477906675,,90.3368010709317,0.31622776601683794,,
250standalone_ampGrad,3x,1,6,116-140,499.5357279521343,182.09182424399927,,116-140,,499.5357279521343,,182.09182424399927,0.31622776601683794,,
250standalone_ampGrad,3x,1,8,116-140,565.3098650049003,247.86596129676525,,116-140,,565.3098650049003,,247.86596129676525,0.31622776601683794,,
250standalone_ampGrad,3x,1,10,116-140,7.279440933877146,-310.1644627742579,,116-140,,7.279440933877146,,-310.1644627742579,0.31622776601683794,,
250standalone_ampGrad,3x,2,0,116-140,319.59958317768945,0.0,,116-140,,319.59958317768945,,0.0,0.31622776601683794,,
250standalone_ampGrad,3x,2,2,116-140,345.341958173104,25.742374995414536,,116-140,,345.341958173104,,25.742374995414536,0.31622776601683794,,
250standalone_ampGrad,3x,2,4,116-140,403.81466293730233,84.21507975961288,,116-140,,403.81466293730233,,84.21507975961288,0.31622776601683794,,
250standalone_ampGrad,3x,2,6,116-140,492.33821015705445,172.738626979365,,116-140,,492.33821015705445,,172.738626979365,0.31622776601683794,,
250standalone_ampGrad,3x,2,8,116-140,566.8725303475596,247.27294716987018,,116-140,,566.8725303475596,,247.27294716987018,0.31622776601683794,,
250standalone_ampGrad,3x,2,10,116-140,326.12998975457015,6.530406576880694,,116-140,,326.12998975457015,,6.530406576880694,0.31622776601683794,,
250standalone_ampGrad,3x,3,0,116-140,323.8623644996318,0.0,,116-140,,323.8623644996318,,0.0,0.31622776601683794,,
250standalone_ampGrad,3x,3,2,116-140,346.31271529047007,22.450350790838286,,116-140,,346.31271529047007,,22.450350790838286,0.31622776601683794,,
250standalone_ampGrad,3x,3,4,116-140,402.8886977396573,79.02633324002551,,116-140,,402.8886977396573,,79.02633324002551,0.31622776601683794,,
250standalone_ampGrad,3x,3,6,116-140,483.12220226754874,159.25983776791696,,116-140,,483.12220226754874,,159.25983776791696,0.31622776601683794,,
250standalone_ampGrad,3x,3,8,116-140,551.5515180043201,227.6891535046883,,116-140,,551.5515180043201,,227.6891535046883,0.31622776601683794,,
250standalone_ampGrad,3x,3,10,116-140,521.2199059733371,197.35754147370528,,116-140,,521.2199059733371,,197.35754147370528,0.31622776601683794,,
250standalone_ampGrad,10x,1,0,116-140,315.680162370392,0.0,,116-140,,315.680162370392,,0.0,1.0,,
250standalone_ampGrad,10x,1,2,116-140,335.02165886692933,19.34149649653733,,116-140,,335.02165886692933,,19.34149649653733,1.0,,
250standalone_ampGrad,10x,1,4,116-140,383.0150234259384,67.33486105554641,,116-140,,383.0150234259384,,67.33486105554641,1.0,,
250standalone_ampGrad,10x,1,6,116-140,476.14126841914367,160.46110604875167,,116-140,,476.14126841914367,,160.46110604875167,1.0,,
250standalone_ampGrad,10x,1,8,116-140,577.314187253626,261.63402488323396,,116-140,,577.314187253626,,261.63402488323396,1.0,,
250standalone_ampGrad,10x,1,10,116-140,798.2235611845875,482.54339881419554,,116-140,,798.2235611845875,,482.54339881419554,1.0,,
250standalone_ampGrad,10x,2,0,116-140,310.81812783790997,0.0,,116-140,,310.81812783790997,,0.0,1.0,,
250standalone_ampGrad,10x,2,2,116-140,329.9996592396897,19.18153140177975,,116-140,,329.9996592396897,,19.18153140177975,1.0,,
250standalone_ampGrad,10x,2,4,116-140,376.66715353472523,65.84902569681526,,116-140,,376.66715353472523,,65.84902569681526,1.0,,
250standalone_ampGrad,10x,2,6,116-140,467.4218507913847,156.60372295347474,,116-140,,467.4218507913847,,156.60372295347474,1.0,,
250standalone_ampGrad,10x,2,8,116-140,560.0331582980039,249.21503046009389,,116-140,,560.0331582980039,,249.21503046009389,1.0,,
250standalone_ampGrad,10x,2,10,116-140,761.1649550312668,450.34682719335683,,116-140,,761.1649550312668,,450.34682719335683,1.0,,
250standalone_ampGrad,10x,3,0,116-140,339.4643102803049,0.0,,116-140,,339.4643102803049,,0.0,1.0,,
250standalone_ampGrad,10x,3,2,116-140,359.0430125123033,19.578702231998363,,116-140,,359.0430125123033,,19.578702231998363,1.0,,
